id,Idade,Genero,Faixa_idade,Estado_onde_mora,Regiao_onde_mora,uf_onde_mora,Nivel_de_Ensino,Área_de_Formação,Qual_sua_situação_atual_de_trabalho,Nivel,Faixa_salarial,2021,ano_pesquisa,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Cargo_Atual,2022,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,2023
qgg533sb1h7va28c0vqgga3amiguh7uh,29.0,Masculino,25-29,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de Negócios/Business Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qghf5y12o67l2ssqghfyspw20kpfaj9t,40.0,Feminino,40-44,,Sudeste,SP,Doutorado ou Phd,,Empregado (CLT),Pleno,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Cientista de Dados/Data Scientist,2022.0,1.0,0.0,0.0,0.0,2023.0
qgj39yiq3a8tsqslqgjswanmlzeen4aq,30.0,Masculino,30-34,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),,de R$ 16.001/mês a R$ 20.000/mês,2021.0,2023,Branca,Não,,,1.0,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qh1facy9yd1lu47c76c8iqh1facfhu9b,24.0,Masculino,22-24,,Sudeste,ES,Estudante de Graduação,,Empreendedor ou Empregado (CNPJ),Pleno,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analista de Dados/Data Analyst,2022.0,1.0,0.0,0.0,0.0,2023.0
qh8rqwp4rj980jb3qh82n4az8eran7q0,28.0,Masculino,25-29,,Sudeste,MG,Pós-graduação,,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qh9eaoirjiwqhqozjd2h1rq4jvwv8kwj,37.0,Masculino,35-39,,Sudeste,MG,Pós-graduação,,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de BI/BI Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qhsdmaqs71d4vcjfx767kqhsdm2rup4a,28.0,Feminino,25-29,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),Sênior,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2023,Preta,Não,,,1.0,Analista de Dados/Data Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qhsrrcyhvno8k25n25qhsrrctenuc7w9,24.0,Masculino,22-24,,Sul,PR,Estudante de Graduação,,Empregado (CLT),Júnior,de R$ 1.001/mês a R$ 2.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de BI/BI Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qi1u7xbamkgpn551l0ouqi1u7xwh2r0g,44.0,Masculino,40-44,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Sênior,de R$ 16.001/mês a R$ 20.000/mês,2021.0,2023,Amarela,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",,1.0,Cientista de Dados/Data Scientist,2022.0,0.0,1.0,0.0,0.0,2023.0
qi3jnmu6ugdhryigp4czw5qi3jnmu6um,31.0,Masculino,30-34,,Sul,SC,Pós-graduação,,Empreendedor ou Empregado (CNPJ),,Acima de R$ 40.001/mês,2021.0,2023,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,,2022.0,1.0,0.0,0.0,0.0,2023.0
qi620o88eb642co7owqi62dvsqaqmdch,35.0,Masculino,35-39,,Sudeste,MG,Graduação/Bacharelado,,Empregado (CLT),,Acima de R$ 40.001/mês,2021.0,2023,Branca,Sim,"Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",,1.0,,2022.0,0.0,0.0,0.0,1.0,2023.0
qi6k2cfn4uep0i5sruklxxqi6k2cinhc,47.0,Feminino,45-49,,Sudeste,SP,Pós-graduação,,Empreendedor ou Empregado (CNPJ),Sênior,de R$ 12.001/mês a R$ 16.000/mês,2021.0,2023,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",,1.0,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),2022.0,0.0,1.0,1.0,0.0,2023.0
qia6o4c73ucfp4bc6vqia6ou2mwnt8i0,45.0,Masculino,45-49,,,,Graduação/Bacharelado,,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Sênior,Acima de R$ 40.001/mês,2021.0,2023,Outra,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",,0.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,0.0,1.0,0.0,0.0,2023.0
qid20xhain9mzmvmqid20a3ey1arkwq1,41.0,Feminino,40-44,,Sul,RS,Pós-graduação,,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2023,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Analista de Dados/Data Analyst,2022.0,1.0,0.0,0.0,0.0,2023.0
qiffgxd6wgxbhk8xhvqiffgxdrtb6l8u,23.0,Masculino,22-24,,Sudeste,RJ,Graduação/Bacharelado,,Empregado (CLT),Pleno,de R$ 3.001/mês a R$ 4.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Cientista de Dados/Data Scientist,2022.0,1.0,0.0,0.0,0.0,2023.0
qig068nlv7f8gba2qig06jo4fucu6txt,26.0,Masculino,25-29,,Sudeste,SP,Pós-graduação,,Empreendedor ou Empregado (CNPJ),Júnior,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de Dados/Data Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qj0lumjy9torbjds1qj0lumjjsu6mfr4,31.0,Masculino,30-34,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Pleno,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Branca,Não,,,1.0,Analista de BI/BI Analyst,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qj907qugoaqnlqj90koi7orz16ep2tgc,24.0,Masculino,22-24,,Sudeste,SP,Graduação/Bacharelado,,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Branca,Não,,,1.0,Analytics Engineer,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qjdc4jejvpv431t13c6aruqjdc4jebd1,23.0,Masculino,22-24,,Centro-oeste,GO,Graduação/Bacharelado,,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,1.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,1.0,0.0,0.0,0.0,2023.0
qjdsm8pvz7sp0fxxlhbeiqjdsm880aly,41.0,Masculino,40-44,,Sudeste,SP,Pós-graduação,,Empregado (CLT),Sênior,de R$ 12.001/mês a R$ 16.000/mês,2021.0,2023,Branca,Não,,,1.0,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
qjnixr57cw9lp9dojz1voqjnixr5772i,30.0,Masculino,30-34,,Sudeste,SP,Doutorado ou Phd,,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2023,Branca,Sim,"Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",,1.0,Analista de Dados/Data Analyst,2022.0,0.0,0.0,0.0,1.0,2023.0
