id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
001b2d1qtli8t9z7oqgdhj001b2d4i0g,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,MG,Sudeste,Doutorado ou Phd,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0026aa3fwd78u0026asg7456tfkjg2cs,30,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,ES,Sudeste,Graduação/Bacharelado,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
00r21rb9pusd1b0v7ew00r21rw3dy69w,37,Feminino,Amarela,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês
00urm3jf2cek12w6ygue00urm3jzd17j,22,Masculino,Preta,Não,22-24,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,"Desempregado, buscando recolocação",1,SP,Sudeste,Estudante de Graduação,,,
00v0az4g792svil00vn6y1kfm9hq8vy9,34,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,MG,Sudeste,Doutorado ou Phd,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
015qqbrh4rr015qje9gvkbsb7ti1n5df,30,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,RJ,Sudeste,Estudante de Graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
01810y9hweneb018to8t1p8ubyn1o04m,24,Masculino,Branca,Não,22-24,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
01k1i8w42ljmgee01k1eay1n1283ot23,35,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,,,de R$ 20.001/mês a R$ 25.000/mês
01n9nd73iv68k81iefenxv01n9nd7wjt,27,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Trabalho na área Acadêmica/Pesquisador,1,RJ,Sudeste,Graduação/Bacharelado,,,
01v9nqn7mz93ace01v9ig2aswc6oy2zq,28,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,"Desempregado, buscando recolocação",1,SP,Sudeste,Graduação/Bacharelado,,,
01zusm1faol2k2601zlthh05cj7iqyit,25,Masculino,Preta,Sim,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,0.0,1.0,Empregado (CLT),1,SE,Nordeste,Estudante de Graduação,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
02cv39tv75nm2z9zhcv02cv379703hvs,46,Feminino,Parda,Não,45-49,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Desempregado, buscando recolocação",1,PE,Nordeste,Pós-graduação,,,
02yuxvtb6698rqwq8w02yuza594l7cut,32,Feminino,Preta,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,RS,Sul,Pós-graduação,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês
03hoy11ga4jko92xixsfb03hogk1wpa8,39,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,36,Masculino,Branca,Não,35-39,,,,,,Servidor Público,1,DF,Centro-oeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês
03zphd4wn92u78t7c03zph7kmu1pu8nw,35,Feminino,Branca,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,MG,Sudeste,Mestrado,,,de R$ 8.001/mês a R$ 12.000/mês
04b8mbh28y4r0z04b8f42bs4j4ma44pl,29,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Servidor Público,1,RJ,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
04ellbzcl7lj3va9n1yx04eleu3mlvml,29,Feminino,Prefiro não informar,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Mestrado,Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
04mb6m64f1b9566fnjwz04mb6m6bmelv,27,Masculino,Parda,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês
04oft971jvyonsl456b704oft97ssj7l,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,RJ,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês
04qj1aoh18cgbwi04qj1aohkr325qe6z,35,Masculino,Parda,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,PB,Nordeste,Mestrado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
04qmbrvl35x33l4prch04qmbr7a5ee5j,35,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,29,Masculino,Branca,Não,25-29,,,,,,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês
05csrlllrg5xhyryv7i305csrl8hfybu,44,Feminino,Branca,Não,40-44,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Doutorado ou Phd,,,de R$ 8.001/mês a R$ 12.000/mês
05edmndszxd75nu8o05edmnbiuloulj9,25,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês
05na8bynsxjppjlrgsfb405na83mpw9f,36,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,,,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
06bekvb2fzxi6n0czi06bekvydrj06mi,36,Feminino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês
06ytc58mw53h90izzo306ytcpdc16w70,46,Masculino,Branca,Não,45-49,,,,,,Empregado (CLT),1,SC,Sul,Graduação/Bacharelado,Professor/Pesquisador,Pleno,de R$ 8.001/mês a R$ 12.000/mês
06zhqgd6dr4xjy06zhqg21con02zwy42,33,Feminino,Parda,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Mestrado,Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês
076sddptnza0htgkwxmr1jr076sddptb,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Mestrado,Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
07ei3nr4jibmbslmgzup07ei3n8u13ka,32,Masculino,Parda,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Não tenho graduação formal,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês
07podb88144utvmy9lk0x07podb8k8nl,38,Masculino,Preta,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Não tenho graduação formal,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês
07vxvpqgtstbdqapyq07vo5p9yky8rqh,36,Masculino,Parda,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,,,de R$ 25.001/mês a R$ 30.000/mês
083f331tparwm4083fxbusb0cps0rmwa,53,Masculino,Branca,Não,50-54,,,,,,Empregado (CLT),1,RS,Sul,Pós-graduação,Professor/Pesquisador,Pleno,de R$ 3.001/mês a R$ 4.000/mês
08f7gp5stfs0txz08fn357e56e1co6sj,23,Masculino,Amarela,Prefiro não informar,22-24,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Estudante de Graduação,Cientista de Dados/Data Scientist,Pleno,de R$ 3.001/mês a R$ 4.000/mês
091jp2ibksf49d1cgtz0091jp2bpsxzx,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
09esdc97ebk0609es03a7nf83pw1owqg,33,Feminino,Branca,Não,30-34,,,,,,Empregado (CLT),1,BA,Nordeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,36,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SC,Sul,Mestrado,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
0an4fvp64oeblyt70k00an4fvtn9vcle,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês
0autzixgz8xh4s7nwdw70autzmjayn79,38,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,PR,Sul,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
0ayla3c460hpsv520ayla3i1xyyhg350,23,Masculino,Branca,Não,22-24,,,,,,Empreendedor ou Empregado (CNPJ),1,RS,Sul,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,PA,Norte,Mestrado,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0b3av6hp5sh4tl79rh0b3avpntmyuqiu,26,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Mestrado,Cientista de Dados/Data Scientist,Sênior,de R$ 20.001/mês a R$ 25.000/mês
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz,30,Masculino,Parda,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,RJ,Sudeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
0b9sb2w74o4h0f42j0b9sbk83r3d01j0,26,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,PR,Sul,Estudante de Graduação,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
0baz3khrxi0sei0bazgztvrrugudi1wd,50,Feminino,Parda,Não,50-54,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Servidor Público,1,SP,Sudeste,Mestrado,Estatístico,Pleno,de R$ 8.001/mês a R$ 12.000/mês
0bb3tmiavc8odqz33eojlr0bb3to0mtu,23,Feminino,Branca,Não,22-24,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Estudante de Graduação,,,de R$ 4.001/mês a R$ 6.000/mês
0beob0vw5kuacjool0w0beobkbzsh06f,22,Masculino,Branca,Não,22-24,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0bj58kvonhsptf90bj5ldaxfkdm013kt,39,Masculino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,GO,Centro-oeste,Pós-graduação,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,34,Feminino,Branca,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,PE,Nordeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0bzkjj29s204r00bzkuifih8t0n4shmd,23,Masculino,Branca,Não,22-24,,,,,,Estagiário,0,,,Prefiro não informar,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês
0c61ipysz17kckyll0c61ivgliw391vr,29,Masculino,Preta,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,DF,Centro-oeste,Graduação/Bacharelado,Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0czmmsqic3e0czzgfpcxcmlvopm6lzgf,25,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,26,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,PR,Sul,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,27,Masculino,Preta,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,1,PE,Nordeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 20.001/mês a R$ 25.000/mês
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp,27,Masculino,Branca,Não,25-29,,,,,,Estagiário,1,SP,Sudeste,Estudante de Graduação,Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês
0dqlwrfgpu6hl40dq03c11aoxyrkddtt,24,Masculino,Branca,Não,22-24,,,,,,Estagiário,1,SP,Sudeste,Estudante de Graduação,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
0dverwvn6qvm84sj0dverwv1jhbj8uhf,22,Masculino,Branca,Não,22-24,,,,,,Estagiário,1,MG,Sudeste,Estudante de Graduação,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
0e5jp063qgcme6ly0e5j1oqs6sdw53oi,29,Masculino,Preta,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,ES,Sudeste,Mestrado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x,32,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,RS,Sul,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0ei02mf5qxmda4g0ei02noz2n3ozbmns,38,Feminino,Branca,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,ES,Sudeste,Pós-graduação,Outra Opção,Sênior,de R$ 6.001/mês a R$ 8.000/mês
0es5j6zi3eta53c3alanv0es5j6zm7bp,62,Masculino,Parda,Não,55+,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Desempregado e não estou buscando recolocação,1,SP,Sudeste,Não tenho graduação formal,,,
0etlg34j0c2aa5gxkx0etlgl5085l8cl,27,Masculino,Branca,Não,25-29,,,,,,Estagiário,1,PR,Sul,Mestrado,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3.000/mês
0fqm46sjwi4favsmqvl0fqm46s98elu7,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês
0fy84aoyul0t71eaqln0fyfp4p5e8glp,27,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,RS,Sul,Mestrado,Economista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0g42rq6g6p2q873xia8y0g42x4n8upzt,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,PR,Sul,Mestrado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 16.001/mês a R$ 20.000/mês
0gegw5q7g3lykqzh1jrvp0gegw55wg08,23,Feminino,Branca,Não,22-24,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Somente Estudante (pós-graduação),1,BA,Nordeste,Graduação/Bacharelado,,,
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz,23,Masculino,Preta,Não,22-24,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,RS,Sul,Estudante de Graduação,Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
0gn3aonvi5bf7v0gditzg8sz142fxclo,26,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,MT,Centro-oeste,Graduação/Bacharelado,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
0gqoessq550geoi56otja8nxkzhl2yoe,33,Masculino,Amarela,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Analista de Dados/Data Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0gxlcto118vdsq0gxlcaonsk0utw8n0y,24,Masculino,Branca,Não,22-24,,,,,,Empregado (CLT),1,RJ,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0h9s4p0a05whv290h9sq91aarxgafcha,26,Feminino,Branca,Não,25-29,,,,,,Empregado (CLT),1,RJ,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0hc6qwa1z9mz3aeb0hc6qwn21gsvs4u3,28,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0i6712vqjj653m0i670gfwnl6ta7qnic,37,Feminino,Branca,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,RS,Sul,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês
0id8eghh68cl1w98pk0id8ep67ng3t9n,33,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
0ig66tffh8xm8bmo0ig61rg4eh0vfx85,25,Masculino,Branca,Não,25-29,,,,,,"Desempregado, buscando recolocação",1,PI,Nordeste,Estudante de Graduação,,,
0iozjnemmmz54m3nq0iozjnzm4poermp,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,RS,Sul,Mestrado,,,de R$ 12.001/mês a R$ 16.000/mês
0j2vm91zj9pfytz27jax0j2vafif1kuv,43,Masculino,Parda,Não,40-44,,,,,,Empregado (CLT),1,PR,Sul,Pós-graduação,Analista de Suporte/Analista Técnico,Júnior,de R$ 2.001/mês a R$ 3.000/mês
0jainribfz6iwp042gdx0jaino4uc71r,29,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês
0jc0mij71evva7kn778bz30jc0mijucs,30,Feminino,Parda,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0jca0nbvqe3ufht9p0jca0dwcapmm8fm,48,Masculino,Branca,Não,45-49,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Analista de Suporte/Analista Técnico,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0ji2x0gh9fnq4nuej0ji2xknk36lhorh,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,DF,Centro-oeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0jj9dxfgsq4uhudlwbcs0jj9dxq1k1xm,27,Masculino,Branca,Não,25-29,,,,,,Empreendedor ou Empregado (CNPJ),1,ES,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês
0jk0bdnu7cufwadn0jk07nuti10opjh8,28,Masculino,Branca,Não,25-29,,,,,,Estagiário,1,ES,Sudeste,Estudante de Graduação,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
0jlaefa4xwwgk5lfga7gsl0jlaefak5x,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SC,Sul,Estudante de Graduação,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0jqbuqvb3936balyvfenrstk0jqbuqvb,28,Masculino,Branca,Não,25-29,,,,,,Estagiário,1,SC,Sul,Estudante de Graduação,Cientista de Dados/Data Scientist,Júnior,Menos de R$ 1.000/mês
0k7l1ljbam6kacmu0k7lno7oaf3xmu2d,29,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,RJ,Sudeste,Estudante de Graduação,Outra Opção,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0kgic0bazt3vuk7t0kgisvop2347hvb2,28,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,PR,Sul,Graduação/Bacharelado,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 3.001/mês a R$ 4.000/mês
0kugfu1lh5m23aunu2tn0kugb01gbx3e,21,Masculino,Branca,Não,17-21,,,,,,Somente Estudante (graduação),1,GO,Centro-oeste,Estudante de Graduação,,,
0kul7v5qknv9o8qccac0kulrt5fdi7om,49,Masculino,Branca,Não,45-49,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,,,de R$ 25.001/mês a R$ 30.000/mês
0kyn7c4b5p4ud7arfk4000kynyyy82ec,33,Feminino,Parda,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Servidor Público,1,PE,Nordeste,Mestrado,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
0kz3y2ky2wx4fmkhadp0kz3y8y7jrl32,23,Masculino,Parda,Não,22-24,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,RJ,Sudeste,Estudante de Graduação,Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
0lv0ldegkx1i8xxmet0lvfewlljsvem0,27,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,GO,Centro-oeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês
0lw4azzxw5hfcsb86ack0lw4azz8myxk,37,Feminino,Branca,Sim,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Desempregado, buscando recolocação",1,SP,Sudeste,Graduação/Bacharelado,,,
0m9ykattn3c24ri42vxg0m9ykam9lb6n,34,Masculino,Amarela,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
0mnxtpoxm1cp3wctf9bp0m6esr5ydpkh,24,Masculino,Branca,Não,22-24,,,,,,Empreendedor ou Empregado (CNPJ),1,SP,Sudeste,Graduação/Bacharelado,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Júnior,de R$ 2.001/mês a R$ 3.000/mês
