id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
rq6mt3rlgquhdupgbrq6mt3q7hs3ak45,31,Feminino,Branca,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,PB,Nordeste,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês
rqud28u1pu1ohrqud2n9gxq42wg5og77,55,Feminino,Branca,Não,55+,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rr6p1z11fyp9f533jmrr6p1z1ntrjoz1,28,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rremho6t60xlvbvdi29rremhohkwqrqb,28,Feminino,Preta,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,ES,Sudeste,Graduação/Bacharelado,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 3.001/mês a R$ 4.000/mês
rrigcrobqjskbvwrrrigc8wo3yr6u2pt,36,Masculino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,1.0,0.0,Servidor Público,1,PA,Norte,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês
rse8ku6as379t2rikqytttrse8ku68u8,28,Masculino,Preta,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Estudante de Graduação,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
rsf7tkuvzhn0g9p7rsf71v75jnzf5i0l,51,Masculino,Branca,Não,50-54,,,,,,Empreendedor ou Empregado (CNPJ),1,SP,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês
rsinfdc7ejivbcoursinfd94iwbufbao,33,Masculino,Branca,Não,30-34,,,,,,Trabalho na área Acadêmica/Pesquisador,1,PR,Sul,Doutorado ou Phd,,,
rsr1zg43up7q4duzkuhmlkrsr1zgoadc,44,Masculino,Branca,Não,40-44,,,,,,Empregado (CLT),1,PR,Sul,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 16.001/mês a R$ 20.000/mês
rt4mjb0e1wuqwr8lwjgrt4mj7dz9dxy8,29,Feminino,Branca,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Estagiário,1,SP,Sudeste,Estudante de Graduação,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
rt5zymqkqb0rhtyirf7rt5zy7pg5wrcn,51,Feminino,Parda,Não,50-54,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Desempregado, buscando recolocação",1,RS,Sul,Graduação/Bacharelado,,,
rtklyhw8afie3yzgaj6rtklyhwhzh5fp,40,Masculino,Branca,Não,40-44,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Suporte/Analista Técnico,Pleno,de R$ 4.001/mês a R$ 6.000/mês
rtxwwsj5kj71k8vrtskqvonw4kvbb4pi,58,Masculino,Branca,Não,55+,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
ruk3if7zijwke7wx6wruk3hotjv2o4e7,38,Masculino,Parda,Sim,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,0.0,1.0,Empregado (CLT),1,RJ,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
ruubc5bs2fq8fr0e84zruubr27lkjfbx,38,Masculino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês
rv2hgtlxtnj5r9zkzn9d9s1htrv2hgt8,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Estudante de Graduação,Outra Opção,Júnior,de R$ 4.001/mês a R$ 6.000/mês
rv5oh83y7djtd8oq75natrv5oh83zzc1,32,Feminino,Branca,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês
rvf6leeo98593dcar5drvf6rs3aj0vx6,40,Feminino,Branca,Não,40-44,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,PR,Sul,Pós-graduação,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rvg35u5gh80cnlsn8rvg35e8s40wkho8,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
rvs532wls3cvomo3rvs532ip9n0g2zka,26,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,MG,Sudeste,Pós-graduação,DBA/Administrador de Banco de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês
rvvqqq89nhmp15nxlx7rvvqqq1j4nk9u,26,Masculino,Parda,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Estagiário,1,RJ,Sudeste,Pós-graduação,Analista de Inteligência de Mercado/Market Intelligence,Júnior,de R$ 1.001/mês a R$ 2.000/mês
rvwzt75emf1496krfgdervwzt7czmcw8,23,Masculino,Branca,Não,22-24,,,,,,Empreendedor ou Empregado (CNPJ),1,SC,Sul,Estudante de Graduação,,,de R$ 8.001/mês a R$ 12.000/mês
rvzdllkvspb6rvzdnq4gkqvwoac2tnq4,42,Masculino,Parda,Não,40-44,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Freelancer,1,PI,Nordeste,Mestrado,Analista de BI/BI Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
