id,Idade,Faixa idade,Genero,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Estado onde mora,uf onde mora,Regiao onde mora,Nivel de Ensino,Área de Formação,Cargo Atual,Nivel,Faixa salarial
3gmcpobro8kuh9gc2v3gmcpx55gybml0,21.0,17-21,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Minas Gerais (MG),MG,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3.000/mês
3giq5hzijy10e7rx43giep5lz4japx30,28.0,25-29,Masculino,Branca,Não,,,True,Minas Gerais (MG),MG,Sudeste,Mestrado,Outras Engenharias,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
3gfwlo7yvd3cdcshc1c3gfwlz9usvnza,22.0,22-24,Masculino,Branca,Não,,,True,Maranhão (MA),MA,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 1.001/mês a R$ 2.000/mês
3g2zt5a7te5ephk5l73g2ztbj8t4yg27,31.0,30-34,Masculino,Branca,Não,,,True,Minas Gerais (MG),MG,Sudeste,Mestrado,Outras Engenharias,Cientista de Dados/Data Scientist,Júnior,de R$ 6.001/mês a R$ 8.000/mês
3g1acu3lkg0ugqva2yvesv3g1acswqpl,34.0,30-34,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 25.001/mês a R$ 30.000/mês
3fhyajntoblknfnm3fhyajxhmpqbjiln,29.0,25-29,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês
3fhe0qpgbtch9vvp23fhxmrvpvskfvhp,21.0,17-21,Masculino,Branca,Não,,,True,Rio de Janeiro (RJ),RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,
3fgxu4j9lm58hpt3fgxu47zsa19he471,27.0,25-29,Masculino,Branca,Não,,,True,São Paulo (SP),SP,Sudeste,Pós-graduação,Outras Engenharias,Cientista de Dados/Data Scientist,Sênior,de R$ 8.001/mês a R$ 12.000/mês
3f8wij5jc6rt156y13f8w81xp947gcde,26.0,25-29,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Rio de Janeiro (RJ),RJ,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês
3exhv7qxlixzv3jyxtbrxd3ex8479ngv,32.0,30-34,Feminino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Senioridade das vagas recebidas em relação à sua experiência, Salário",True,Paraná (PR),PR,Sul,Pós-graduação,Outra opção,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
3ekg3abakky1j7ala3ek2vnjy9gk2x9r,27.0,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,True,Rio de Janeiro (RJ),RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 12.001/mês a R$ 16.000/mês
